id,name,latitude,longitude,province,municipality,highway,road,postcode,truck_spots,total_spots,area_m2,is_truck_parking,is_rest_area,is_service_area,has_fuel,has_restaurant,has_toilets,has_wifi,has_charging,operator,opening_hours,hgv,confidence_score,osm_id,data_source
osm_node_45526403,Unnamed,52.1630789,5.5292304,Gelderland,Barneveld,Rijksweg A1,Rijksweg A1,3784 WB,,,,False,False,True,False,False,False,False,False,,,,0.5,45526403,OpenStreetMap
osm_node_45535610,Unnamed,52.1652463,5.4802509,Gelderland,Barneveld,Rijksweg A1,Rijksweg A1,3784 WP,,,,False,False,True,False,False,False,False,False,,,,0.5,45535610,OpenStreetMap
osm_node_279325038,Unnamed,50.8357533,5.508233,Limburg,Bilzen-Hoeselt,,Koning Boudewijnsnelweg,3730,,,,True,False,False,False,False,False,False,False,,,yes,0.55,279325038,OpenStreetMap
osm_node_472763021,Unnamed,51.9743145,4.6057146,Zuid-Holland,Zuidplas,,Hoogeveenenweg,2914 LR,,,,True,False,False,False,False,False,False,False,,,designated,0.55,472763021,OpenStreetMap
osm_node_477826542,Unnamed,51.9736646,4.6043118,Zuid-Holland,Zuidplas,,Hoogeveenenweg,2914 LR,,,,True,False,False,False,False,False,False,False,,,designated,0.55,477826542,OpenStreetMap
osm_node_677185482,Unnamed,51.3830662,6.0341656,Limburg,Peel en Maas,A67,A67,5975 PA,,,,True,False,False,False,False,False,False,False,,,yes,0.55,677185482,OpenStreetMap
osm_node_764571045,Aire de Bierges,50.7167378,4.5837633,Brabant wallon,Wavre,Autoroute des Ardennes,Autoroute des Ardennes,1301,,,,True,False,False,False,False,False,False,False,,,designated,0.65,764571045,OpenStreetMap
osm_node_879097973,Unnamed,52.5088254,6.8665112,Niedersachsen,Samtgemeinde Uelsen,,Wilsumer Straße,49843,,,,False,True,False,False,False,False,False,False,,,,0.55,879097973,OpenStreetMap
osm_node_964667528,Unnamed,50.7828563,3.9349239,Oost-Vlaanderen,Geraardsbergen,,Hoogvorst,9506,,,,False,True,False,False,False,False,False,False,,,,0.5,964667528,OpenStreetMap
osm_node_966328991,Unnamed,52.9698575,5.1093714,Noord-Holland,Hollands Kroon,Afsluitdijk,Afsluitdijk,1779 GR,,,,False,True,False,False,False,False,False,False,,,,0.5,966328991,OpenStreetMap
osm_node_972224349,Unnamed,52.8559174,4.8292836,Noord-Holland,Hollands Kroon,,Lagedijk,1761 ZS,,,,False,True,False,False,False,False,False,False,,,,0.5,972224349,OpenStreetMap
osm_node_993922993,Unnamed,51.2924946,6.0452808,Limburg,Peel en Maas,,Roode Eggeweg,5995 PH,,,,False,True,False,False,False,False,False,False,,,,0.5,993922993,OpenStreetMap
osm_node_993937689,Unnamed,51.2919092,6.0443585,Limburg,Peel en Maas,,Roode Eggeweg,5995 PH,,,,False,True,False,False,False,False,False,False,,,,0.5,993937689,OpenStreetMap
osm_node_993937716,Unnamed,51.2920646,6.0441242,Limburg,Peel en Maas,,Roode Eggeweg,5995 PH,,,,False,True,False,False,False,False,False,False,,,,0.5,993937716,OpenStreetMap
osm_node_996363653,Unnamed,51.2820769,6.0210552,Limburg,Peel en Maas,,Rijksweg,5995 SH,,,,False,True,False,False,False,False,False,False,,,,0.5,996363653,OpenStreetMap
osm_node_1035620564,Unnamed,50.9688852,4.31607,Vlaams-Brabant,Meise,,Ossegemstraat,1861,,,,False,True,False,False,False,False,False,False,,,,0.5,1035620564,OpenStreetMap
osm_node_1095055545,Unnamed,51.9072541,4.6224861,Zuid-Holland,Krimpenerwaard,,CG Roosweg,2931 LM,,,,False,True,False,False,False,False,False,False,,,,0.5,1095055545,OpenStreetMap
osm_node_1095055557,Unnamed,51.8982887,4.6383148,Zuid-Holland,Krimpenerwaard,,Tiendweg,2931 LJ,,,,False,True,False,False,False,False,False,False,,,,0.5,1095055557,OpenStreetMap
osm_node_1106824939,Unnamed,51.9131359,4.6233204,Zuid-Holland,Krimpen aan den IJssel,,begonia,2925 DN,,,,False,True,False,False,False,False,False,False,,,,0.5,1106824939,OpenStreetMap
osm_node_1142259358,Unnamed,51.9021559,4.6320237,Zuid-Holland,Krimpenerwaard,,Groenland,2931 RR,,,,False,True,False,False,False,False,False,False,,,,0.5,1142259358,OpenStreetMap
osm_node_1142259362,Unnamed,51.9015738,4.6338814,Zuid-Holland,Krimpenerwaard,,Harpoen,2931 RC,,,,False,True,False,False,False,False,False,False,,,,0.5,1142259362,OpenStreetMap
osm_node_1142354367,Unnamed,51.8981787,4.6374686,Zuid-Holland,Krimpenerwaard,,Tiendweg,2931 LJ,,,,False,True,False,False,False,False,False,False,,,,0.5,1142354367,OpenStreetMap
osm_node_1194499566,Unnamed,51.9292362,4.7174156,Zuid-Holland,Krimpenerwaard,,CG Roosweg,2941 LH,,,,False,True,False,False,False,False,False,False,,,,0.5,1194499566,OpenStreetMap
osm_node_1249147578,Unnamed,53.196515,6.7750381,Groningen,Midden-Groningen,,Provincialeweg,9619 PR,,,,False,True,False,False,False,False,False,False,,,,0.5,1249147578,OpenStreetMap
osm_node_1256349778,Unnamed,51.1430084,7.0968114,Nordrhein-Westfalen,Solingen,,Hohenscheid,42659,,,,False,True,False,False,False,False,False,False,,,,0.5,1256349778,OpenStreetMap
osm_node_1295121110,Unnamed,51.8829247,6.8580124,Nordrhein-Westfalen,Borken,,B 70,46325,,,,False,True,False,False,False,False,False,False,,,,0.55,1295121110,OpenStreetMap
osm_node_1295121111,Unnamed,51.881349,6.858108,Nordrhein-Westfalen,Borken,,B 70,46325,,,,False,True,False,False,False,False,False,False,,,,0.55,1295121111,OpenStreetMap
osm_node_1507185485,Doemerner Hoechte,52.047498,6.8951392,Nordrhein-Westfalen,Vreden,,Vredener Dyk,48691,,,,False,True,False,False,False,False,False,False,,24/7,,0.6,1507185485,OpenStreetMap
osm_node_1596401024,Uelsen,52.4948013,6.9028378,Niedersachsen,Samtgemeinde Uelsen,Neuenhauser Straße,Neuenhauser Straße,49843,,,,False,True,False,False,False,False,False,False,,,,0.6,1596401024,OpenStreetMap
osm_node_1797677548,Serways Rasthof Nievenheim Ost,51.1236853,6.7975561,Nordrhein-Westfalen,Dormagen,A 57,A 57,41542,,,,False,False,True,False,False,False,False,False,Heinrich Knieps,,,0.65,1797677548,OpenStreetMap
osm_node_2007163433,Unnamed,51.8564718,4.6417035,Zuid-Holland,Ridderkerk,Noordeinde,Noordeinde,2989 AE,,,,True,False,False,False,False,False,False,False,,,yes,0.55,2007163433,OpenStreetMap
osm_node_2151762687,Holtwicker Mark,52.0025276,7.0513214,Nordrhein-Westfalen,Gescher,A 31,A 31,48712,,,,False,True,False,False,False,True,False,False,,,,0.65,2151762687,OpenStreetMap
osm_node_2333868928,ASL-Auto Service Langenfeld,51.133293,6.964001,Nordrhein-Westfalen,Langenfeld (Rheinland),,Carl-Leverkus-Straße,40764,,,,False,True,False,False,False,False,False,False,,,,0.65,2333868928,OpenStreetMap
osm_node_2717910894,Unnamed,51.1894519,5.8700435,Limburg,Leudal,Napoleonsweg Noord,Napoleonsweg Noord,6096 NC,,,,False,True,False,False,False,False,False,False,,,,0.55,2717910894,OpenStreetMap
osm_node_2737708416,TopPunt,52.1704499,6.0113503,Gelderland,Apeldoorn,,Traandijk,7381 AN,,,,False,True,False,False,False,False,False,False,,,,0.6,2737708416,OpenStreetMap
osm_node_2772358651,Unnamed,51.9956964,7.0199692,Nordrhein-Westfalen,Stadtlohn,,Büren,48703,,,,False,True,False,False,False,False,False,False,,,,0.5,2772358651,OpenStreetMap
osm_node_3086687750,Unnamed,51.7739158,5.664659,Noord-Brabant,Oss,,Hertogstraat,5371 ML,,,,False,True,False,False,False,False,False,False,,,,0.5,3086687750,OpenStreetMap
osm_node_3561599056,Autohof Isselburg,51.8195769,6.4454871,Nordrhein-Westfalen,Isselburg,,Bocholter Straße,46419,,,,False,False,True,False,True,True,False,False,,,,0.65,3561599056,OpenStreetMap
osm_node_3572182602,Truck Stop Raststätte Düren GmbH,50.834844,6.4623666,Nordrhein-Westfalen,Düren,Am Langen Graben,Am Langen Graben,52353,,,,False,False,True,False,True,True,False,False,Keutmann - Mörkens,,,0.7000000000000001,3572182602,OpenStreetMap
osm_node_3590843143,Unnamed,51.1370797,5.8933536,Limburg,Maasgouw,,Sint Joosterweg,6101 PE,,,,False,True,False,False,False,False,False,False,,,,0.55,3590843143,OpenStreetMap
osm_node_3601359262,Unnamed,52.3716936,6.3622588,Overijssel,Hellendoorn,Almeloseweg,Almeloseweg,7448 PZ,,,,False,True,False,False,False,False,False,False,,,,0.5,3601359262,OpenStreetMap
osm_node_3601359615,Unnamed,52.3793605,6.3330744,Overijssel,Raalte,Nijverdalseweg,Nijverdalseweg,8106 AB,,,,False,True,False,False,False,False,False,False,,,,0.55,3601359615,OpenStreetMap
osm_node_3611512308,Unnamed,52.3823311,6.3078022,Overijssel,Raalte,Nijverdalseweg,Nijverdalseweg,8106 AA,,,,False,True,False,False,False,False,False,False,,,,0.55,3611512308,OpenStreetMap
osm_node_3611512310,Unnamed,52.3826308,6.3063268,Overijssel,Raalte,Nijverdalseweg,Nijverdalseweg,8106 RL,,,,False,True,False,False,False,False,False,False,,,,0.55,3611512310,OpenStreetMap
osm_node_3611512315,Unnamed,52.3834801,6.3004202,Overijssel,Raalte,Nijverdalseweg,Nijverdalseweg,8106 RL,,,,False,True,False,False,False,False,False,False,,,,0.55,3611512315,OpenStreetMap
osm_node_3611512329,Unnamed,52.3937948,6.2785572,Overijssel,Raalte,,Heinoseweg,8103 PH,,,,False,True,False,False,False,False,False,False,,,,0.55,3611512329,OpenStreetMap
osm_node_3611512331,Unnamed,52.3952957,6.2759996,Overijssel,Raalte,,Heinoseweg,8103 PH,,,,False,True,False,False,False,False,False,False,,,,0.55,3611512331,OpenStreetMap
osm_node_3620826629,Unnamed,52.4092003,6.2570907,Overijssel,Raalte,,Heinoseweg,8101 RA,,,,False,True,False,False,False,False,False,False,,,,0.55,3620826629,OpenStreetMap
osm_node_3620826630,Unnamed,52.4129298,6.2535557,Overijssel,Raalte,,Heinoseweg,8101 RA,,,,False,True,False,False,False,False,False,False,,,,0.55,3620826630,OpenStreetMap
osm_node_3620826631,Unnamed,52.4167958,6.2498829,Overijssel,Raalte,,Heinoseweg,8141 RK,,,,False,True,False,False,False,False,False,False,,,,0.55,3620826631,OpenStreetMap
